column,median
e_186,26.0
e_187,31.0
e_188,28.0
e_189,14.0
e_191,18.5
e_192,18.0
e_193,19.0
e_194,1.0
e_195,31.0
e_197,9.0
e_199,27.0
e_202,20.0
e_211,31.0
e_213,26.0
e_215,28.0
e_216,20.0
e_217,28.0
e_219,35.5
e_220,29.0
e_221,35.0
e_222,35.5
e_223,15.0
e_225,54.0
e_226,43.0
e_232,48.0
e_237,32.0
e_240,29.0
e_248,31.5
e_249,25.0
e_254,20.0
e_267,23.5
e_310,55.0
e_311,28.0
e_315,42.0
e_316,3.0
e_319,52.0
e_320,6.0
e_323,21.5
e_326,13.5
e_329,35.5
e_330,51.0
e_332,15.0
e_334,30.0
e_343,37.0
death_year,61.0
